started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-01-01 00:48:42.884000+00:00,2021-01-01 00:52:04.432000+00:00,201,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-01-01 00:52:12.457000+00:00,2021-01-01 01:00:37.449000+00:00,504,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-01-01 00:55:14.884000+00:00,2021-01-01 01:12:52.893000+00:00,1058,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.1918903325579038,1092,Dalry Road Lidl,,55.94179129688128,-3.2224153095964994
2021-01-01 00:55:15.217000+00:00,2021-01-01 01:13:15.643000+00:00,1080,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.1918903325579038,1092,Dalry Road Lidl,,55.94179129688128,-3.2224153095964994
2021-01-01 00:55:22.724000+00:00,2021-01-01 01:00:20.668000+00:00,297,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134
2021-01-01 00:55:45.362000+00:00,2021-01-01 01:13:19.396000+00:00,1054,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.1918903325579038,1092,Dalry Road Lidl,,55.94179129688128,-3.2224153095964994
2021-01-01 01:02:49.201000+00:00,2021-01-01 01:24:18.309000+00:00,1289,256,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547
2021-01-01 01:09:05.263000+00:00,2021-01-01 01:25:17.636000+00:00,972,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,1757,Meggetland,Meggetland Sports Complex,55.92758664038103,-3.2336710530441906
2021-01-01 01:19:54.312000+00:00,2021-01-01 02:41:37.224000+00:00,4902,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453
2021-01-01 01:20:42.439000+00:00,2021-01-01 01:25:00.679000+00:00,258,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1097,Gladstone Terrace,Corner of Gladstone Terrace and Sciennes Road,55.93796327344498,-3.185021145932069
2021-01-01 01:25:13.965000+00:00,2021-01-01 02:41:24.935000+00:00,4570,1097,Gladstone Terrace,Corner of Gladstone Terrace and Sciennes Road,55.93796327344498,-3.185021145932069,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453
2021-01-01 01:36:03.698000+00:00,2021-01-01 01:44:14.222000+00:00,490,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.949797565633276,-3.1877950320129003,1745,Scotland Street,Corner with Royal Crescent,55.96037972054591,-3.1954703369027584
2021-01-01 01:40:27.973000+00:00,2021-01-01 02:07:50.172000+00:00,1642,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277433,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253
2021-01-01 02:04:47.665000+00:00,2021-01-01 02:42:12.358000+00:00,2244,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,252,Kings Buildings 1,Grant Institute,55.92418540667696,-3.173830830087809
2021-01-01 02:04:48.365000+00:00,2021-01-01 02:41:46.397000+00:00,2218,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,252,Kings Buildings 1,Grant Institute,55.92418540667696,-3.173830830087809
2021-01-01 02:16:39.674000+00:00,2021-01-01 02:47:15.697000+00:00,1836,1092,Dalry Road Lidl,,55.94179129688128,-3.2224153095964994,1815,Sighthill - Edinburgh College,Sighthill Campus,55.926684277487574,-3.2894811171216665
2021-01-01 02:25:00.897000+00:00,2021-01-01 02:41:50.758000+00:00,1009,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503980507732,-3.1766864147848537,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-01-01 02:40:01.502000+00:00,2021-01-01 03:03:28.798000+00:00,1407,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547,2259,Leith Walk North,Next to Allander House,55.96791807044289,-3.1735862970647304
2021-01-01 02:42:27.726000+00:00,2021-01-01 03:20:38.208000+00:00,2290,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-01-01 02:42:35.679000+00:00,2021-01-01 03:20:45.456000+00:00,2289,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-01-01 02:44:08.991000+00:00,2021-01-01 03:00:04.667000+00:00,955,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547
2021-01-01 02:45:18.463000+00:00,2021-01-01 03:00:29.968000+00:00,911,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547
2021-01-01 02:50:50.604000+00:00,2021-01-01 02:55:11.113000+00:00,260,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801
2021-01-01 03:07:31.967000+00:00,2021-01-01 03:57:49.277000+00:00,3017,1798,Chambers Street,Outside National Museum,55.94760044619224,-3.1889197367352153,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
2021-01-01 03:09:02.328000+00:00,2021-01-01 03:14:01.511000+00:00,299,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1798,Chambers Street,Outside National Museum,55.94760044619224,-3.1889197367352153
2021-01-01 03:14:01.440000+00:00,2021-01-01 03:35:08.819000+00:00,1267,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1737,Inverleith Row,Corner with Inverleith Terrace,55.964117879889585,-3.2020947474163677
2021-01-01 03:14:42.297000+00:00,2021-01-01 03:16:45.638000+00:00,123,296,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676648672239,-3.2020378290551434,1019,Grassmarket,West end of Grassmarket,55.947097278583385,-3.1972457326126005
2021-01-01 03:15:39.308000+00:00,2021-01-01 04:25:46.985000+00:00,4207,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289,2263,Musselburgh Lidl,Musselborough North High Street opposite Harbour Road,55.94388031687606,-3.0667539162178628
2021-01-01 03:15:42.813000+00:00,2021-01-01 04:02:20.112000+00:00,2797,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874
2021-01-01 03:27:21.460000+00:00,2021-01-01 03:35:16.765000+00:00,475,1870,Hawes Pier,Off Newhalls Road,55.99052952143077,-3.3855966605769083,1870,Hawes Pier,Off Newhalls Road,55.99052952143077,-3.3855966605769083
2021-01-01 03:58:51.174000+00:00,2021-01-01 04:13:16.256000+00:00,865,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134
2021-01-01 04:04:50.922000+00:00,2021-01-01 04:49:09.142000+00:00,2658,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449
2021-01-01 04:05:54.445000+00:00,2021-01-01 04:49:21.226000+00:00,2606,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449
2021-01-01 04:15:34.656000+00:00,2021-01-01 04:26:37.558000+00:00,662,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825,1720,Dundas Street,On corner of Henderson Row,55.9607624081837,-3.201278014771333
2021-01-01 04:17:58.999000+00:00,2021-01-01 04:26:54.529000+00:00,535,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825,1720,Dundas Street,On corner of Henderson Row,55.9607624081837,-3.201278014771333
2021-01-01 04:31:32.775000+00:00,2021-01-01 04:48:49.751000+00:00,1036,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449
2021-01-01 05:05:45.041000+00:00,2021-01-01 05:50:20+00:00,2674,1092,Dalry Road Lidl,,55.94179129688128,-3.2224153095964994,1815,Sighthill - Edinburgh College,Sighthill Campus,55.926684277487574,-3.2894811171216665
2021-01-01 06:22:09.242000+00:00,2021-01-01 06:34:15.945000+00:00,726,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
2021-01-01 06:22:14.898000+00:00,2021-01-01 06:28:52.783000+00:00,397,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-01-01 06:23:02.489000+00:00,2021-01-01 06:29:22.220000+00:00,379,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-01-01 07:36:06.427000+00:00,2021-01-01 08:42:29.315000+00:00,3982,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1720,Dundas Street,On corner of Henderson Row,55.9607624081837,-3.201278014771333
2021-01-01 09:44:12.271000+00:00,2021-01-01 09:53:59.403000+00:00,587,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704,1019,Grassmarket,West end of Grassmarket,55.947097278583385,-3.1972457326126005
2021-01-01 10:24:50.833000+00:00,2021-01-01 10:51:41.020000+00:00,1610,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929,250,Victoria Quay,Entrance to Scottish Government Office,55.977617152546344,-3.1741263194576277
2021-01-01 10:40:29.273000+00:00,2021-01-01 11:05:29.880000+00:00,1500,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874
2021-01-01 10:43:09.756000+00:00,2021-01-01 10:56:27.537000+00:00,797,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547,1093,Belford Road,Outside Scottish National Gallery of Modern Art,55.95197357717703,-3.226124804664096
2021-01-01 10:50:55.458000+00:00,2021-01-01 11:08:37.588000+00:00,1062,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
